C++ doc,url
tensorflow::ops::TFRecordReader,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/t-f-record-reader.html
tensorflow::ops::TextLineReader,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/text-line-reader.html
tensorflow::ops::WholeFileReader,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/whole-file-reader.html
tensorflow::ops::WriteFile,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/write-file.html
tensorflow::ops::Assert,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/assert.html
tensorflow::ops::HistogramSummary,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/histogram-summary.html
tensorflow::ops::MergeSummary,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/merge-summary.html
tensorflow::ops::Print,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/print.html
tensorflow::ops::PrintV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/print-v2.html
tensorflow::ops::ScalarSummary,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/scalar-summary.html
tensorflow::ops::TensorSummary,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-summary.html
tensorflow::ops::TensorSummaryV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-summary-v2.html
tensorflow::ops::Timestamp,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/timestamp.html
tensorflow::ops::Abs,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/abs.html
tensorflow::ops::AccumulateNV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulate-n-v2.html
tensorflow::ops::Acos,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/acos.html
tensorflow::ops::Acosh,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/acosh.html
tensorflow::ops::Add,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/add.html
tensorflow::ops::AddN,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/add-n.html
tensorflow::ops::AddV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/add-v2.html
tensorflow::ops::All,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/all.html
tensorflow::ops::Angle,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/angle.html
tensorflow::ops::Any,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/any.html
tensorflow::ops::ApproximateEqual,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/approximate-equal.html
tensorflow::ops::ArgMax,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/arg-max.html
tensorflow::ops::ArgMin,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/arg-min.html
tensorflow::ops::Asin,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/asin.html
tensorflow::ops::Asinh,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/asinh.html
tensorflow::ops::Atan,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/atan.html
