PY_API,URL,ALIASES,CPP_API,CPP_URL
tile,https://www.tensorflow.org/api_docs/python/tf/tile,"['tf.compat.v1.manip.tile', 'tf.compat.v1.tile', 'tf.compat.v2.tile']",,
timestamp,https://www.tensorflow.org/api_docs/python/tf/timestamp,"['tf.compat.v1.timestamp', 'tf.compat.v2.timestamp']",tensorflow::ops::Timestamp,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/timestamp.html
transpose,https://www.tensorflow.org/api_docs/python/tf/transpose,['tf.compat.v2.transpose'],,
truncatediv,https://www.tensorflow.org/api_docs/python/tf/truncatediv,"['tf.compat.v1.truncatediv', 'tf.compat.v2.truncatediv']",,
truncatemod,https://www.tensorflow.org/api_docs/python/tf/truncatemod,"['tf.compat.v1.truncatemod', 'tf.compat.v2.truncatemod']",,
tuple,https://www.tensorflow.org/api_docs/python/tf/tuple,['tf.compat.v2.tuple'],,
TypeSpec,https://www.tensorflow.org/api_docs/python/tf/TypeSpec,"['tf.compat.v1.TypeSpec', 'tf.compat.v1.data.experimental.Structure', 'tf.compat.v2.TypeSpec']",,
UnconnectedGradients,https://www.tensorflow.org/api_docs/python/tf/UnconnectedGradients,"['tf.compat.v1.UnconnectedGradients', 'tf.compat.v2.UnconnectedGradients']",,
unique,https://www.tensorflow.org/api_docs/python/tf/unique,"['tf.compat.v1.unique', 'tf.compat.v2.unique']",,
unique_with_counts,https://www.tensorflow.org/api_docs/python/tf/unique_with_counts,"['tf.compat.v1.unique_with_counts', 'tf.compat.v2.unique_with_counts']",,
unravel_index,https://www.tensorflow.org/api_docs/python/tf/unravel_index,"['tf.compat.v1.unravel_index', 'tf.compat.v2.unravel_index']",,
unstack,https://www.tensorflow.org/api_docs/python/tf/unstack,"['tf.compat.v1.unstack', 'tf.compat.v2.unstack']",,
Variable,https://www.tensorflow.org/api_docs/python/tf/Variable,['tf.compat.v2.Variable'],tensorflow::ops::Variable,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/variable.html
Variable.SaveSliceInfo,https://www.tensorflow.org/api_docs/python/tf/Variable/SaveSliceInfo,"['tf.compat.v1.Variable.SaveSliceInfo', 'tf.compat.v2.Variable.SaveSliceInfo']",,
VariableAggregation,https://www.tensorflow.org/api_docs/python/tf/VariableAggregation,['tf.compat.v2.VariableAggregation'],,
VariableSynchronization,https://www.tensorflow.org/api_docs/python/tf/VariableSynchronization,"['tf.compat.v1.VariableSynchronization', 'tf.compat.v2.VariableSynchronization']",,
variable_creator_scope,https://www.tensorflow.org/api_docs/python/tf/variable_creator_scope,['tf.compat.v2.variable_creator_scope'],,
vectorized_map,https://www.tensorflow.org/api_docs/python/tf/vectorized_map,"['tf.compat.v1.vectorized_map', 'tf.compat.v2.vectorized_map']",,
where,https://www.tensorflow.org/api_docs/python/tf/where,"['tf.compat.v1.where_v2', 'tf.compat.v2.where']",tensorflow::ops::Where,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/where.html
while_loop,https://www.tensorflow.org/api_docs/python/tf/while_loop,['tf.compat.v2.while_loop'],,
zeros,https://www.tensorflow.org/api_docs/python/tf/zeros,"['tf.compat.v1.zeros', 'tf.compat.v2.zeros']",,
