API,Type,Count,Input,Unnamed: 4
mxnet.ndarray.gamma,timeout,92,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.gamma.yaml_workdir/timeout_script_record,
mxnet.ndarray.op.sample_multinomial,Floating_Point_Exception,5,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.op.sample_multinomial.yaml_workdir/Floating_Point_Exception_script_record,mx19
mxnet.ndarray.gather_nd,timeout,6,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.gather_nd.yaml_workdir/timeout_script_record,
mxnet.ndarray.greater_equal,timeout,124,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.greater_equal.yaml_workdir/timeout_script_record,
mxnet.ndarray.greater,timeout,131,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.greater.yaml_workdir/timeout_script_record,
mxnet.ndarray.groupnorm,timeout,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.groupnorm.yaml_workdir/timeout_script_record,
mxnet.ndarray.hard_sigmoid,timeout,19,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.hard_sigmoid.yaml_workdir/timeout_script_record,
mxnet.ndarray.histogram,Abort,6,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.histogram.yaml_workdir/Abort_script_record,
mxnet.ndarray.histogram,Kill,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.histogram.yaml_workdir/Kill_script_record,
mxnet.ndarray.histogram,timeout,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.histogram.yaml_workdir/timeout_script_record,
mxnet.ndarray.identity,timeout,102,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.identity.yaml_workdir/timeout_script_record,
mxnet.ndarray.op.sequencelast,Floating_Point_Exception,4,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.op.sequencelast.yaml_workdir/Floating_Point_Exception_script_record,mx6
mxnet.ndarray.instancenorm,timeout,9,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.instancenorm.yaml_workdir/timeout_script_record,
mxnet.ndarray.l2normalization,Abort,12,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.l2normalization.yaml_workdir/Abort_script_record,
mxnet.ndarray.l2normalization,timeout,20,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.l2normalization.yaml_workdir/timeout_script_record,
mxnet.ndarray.leakyrelu,timeout,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.leakyrelu.yaml_workdir/timeout_script_record,
mxnet.ndarray.lesser_equal,timeout,135,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.lesser_equal.yaml_workdir/timeout_script_record,
mxnet.ndarray.lesser,timeout,143,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.lesser.yaml_workdir/timeout_script_record,
mxnet.ndarray.linalg.extractdiag,Abort,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.linalg.extractdiag.yaml_workdir/Abort_script_record,
mxnet.ndarray.linalg_extracttrian,timeout,1,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.linalg_extracttrian.yaml_workdir/timeout_script_record,
mxnet.ndarray.linalg_gelqf,Abort,26,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.linalg_gelqf.yaml_workdir/Abort_script_record,
mxnet.ndarray.linalg.gelqf,Abort,28,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.linalg.gelqf.yaml_workdir/Abort_script_record,
mxnet.ndarray.linalg_gelqf,timeout,59,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.linalg_gelqf.yaml_workdir/timeout_script_record,
